date,education_level,employment_population_ratio,unemployment_rate
2019-01-01,some_college_assoc,63.3,3.5
2019-02-01,some_college_assoc,63.4,3.2
2019-03-01,some_college_assoc,63.0,3.4
2019-04-01,some_college_assoc,62.8,3.1
2019-05-01,some_college_assoc,63.6,2.7
2019-06-01,some_college_assoc,62.8,3.0
2019-07-01,some_college_assoc,63.1,3.1
2019-08-01,some_college_assoc,63.6,3.0
2019-09-01,some_college_assoc,63.0,2.9
2019-10-01,some_college_assoc,62.9,2.8
2019-11-01,some_college_assoc,62.7,3.0
2019-12-01,some_college_assoc,62.9,2.8
2020-01-01,some_college_assoc,62.8,2.9
2020-02-01,some_college_assoc,62.8,3.1
2020-03-01,some_college_assoc,62.0,3.8
2020-04-01,some_college_assoc,53.2,15.5
2020-05-01,some_college_assoc,55.0,13.7
2020-06-01,some_college_assoc,56.9,10.8
2020-07-01,some_college_assoc,57.3,9.6
2020-08-01,some_college_assoc,58.9,7.8
2020-09-01,some_college_assoc,58.3,8.2
2020-10-01,some_college_assoc,58.5,6.6
2020-11-01,some_college_assoc,58.4,6.4
2020-12-01,some_college_assoc,58.6,6.4
2021-01-01,some_college_assoc,58.5,6.1
2021-02-01,some_college_assoc,59.1,5.7
2021-03-01,some_college_assoc,59.5,5.9
2021-04-01,some_college_assoc,59.4,6.0
2021-05-01,some_college_assoc,59.8,5.9
2021-06-01,some_college_assoc,59.5,5.8
2021-07-01,some_college_assoc,59.9,4.9
2021-08-01,some_college_assoc,60.3,5.0
2021-09-01,some_college_assoc,60.1,4.5
2021-10-01,some_college_assoc,60.1,4.3
2021-11-01,some_college_assoc,60.2,3.7
2021-12-01,some_college_assoc,60.5,3.5
2022-01-01,some_college_assoc,60.8,3.5
2022-02-01,some_college_assoc,61.2,3.7
2022-03-01,some_college_assoc,61.5,3.1
2022-04-01,some_college_assoc,61.4,3.1
2022-05-01,some_college_assoc,61.6,3.4
2022-06-01,some_college_assoc,60.8,3.1
2022-07-01,some_college_assoc,60.9,2.8
2022-08-01,some_college_assoc,61.2,3.0
2022-09-01,some_college_assoc,60.8,2.9
2022-10-01,some_college_assoc,60.8,3.0
2022-11-01,some_college_assoc,60.9,3.2
2022-12-01,some_college_assoc,60.9,2.9
2023-01-01,some_college_assoc,61.5,2.9
2023-02-01,some_college_assoc,61.3,3.3
2023-03-01,some_college_assoc,61.6,3.0
2023-04-01,some_college_assoc,61.0,2.8
2023-05-01,some_college_assoc,61.2,3.2
2023-06-01,some_college_assoc,60.7,3.1
2023-07-01,some_college_assoc,60.9,3.1
2023-08-01,some_college_assoc,61.4,3.1
2023-09-01,some_college_assoc,60.8,3.0
2023-10-01,some_college_assoc,60.3,3.1
2023-11-01,some_college_assoc,60.5,2.8
2023-12-01,some_college_assoc,60.5,3.1
2024-01-01,some_college_assoc,60.5,3.3
2024-02-01,some_college_assoc,61.3,3.2
2024-03-01,some_college_assoc,61.0,3.4
2024-04-01,some_college_assoc,60.7,3.3
2024-05-01,some_college_assoc,61.1,3.1
2024-06-01,some_college_assoc,60.6,3.4
2024-07-01,some_college_assoc,60.8,3.5
2024-08-01,some_college_assoc,61.4,3.5
2024-09-01,some_college_assoc,60.9,3.4
2024-10-01,some_college_assoc,60.1,3.4
2024-11-01,some_college_assoc,60.2,3.6
2024-12-01,some_college_assoc,60.5,3.5
2025-01-01,some_college_assoc,60.5,3.5
2025-02-01,some_college_assoc,61.1,3.5
2025-03-01,some_college_assoc,60.3,3.5
2025-04-01,some_college_assoc,60.5,3.7
2025-05-01,some_college_assoc,60.8,3.3
2025-06-01,some_college_assoc,60.9,3.2
2025-07-01,some_college_assoc,61.1,3.0
2025-08-01,some_college_assoc,61.5,3.2
2025-09-01,some_college_assoc,60.7,3.4
2019-01-01,high_school,55.9,3.8
2019-02-01,high_school,55.9,3.8
2019-03-01,high_school,55.7,3.7
2019-04-01,high_school,55.8,3.4
2019-05-01,high_school,55.4,3.5
2019-06-01,high_school,55.7,3.8
2019-07-01,high_school,55.8,3.6
2019-08-01,high_school,55.5,3.6
2019-09-01,high_school,56.0,3.5
2019-10-01,high_school,55.6,3.7
2019-11-01,high_school,55.9,3.6
2019-12-01,high_school,56.2,3.7
2020-01-01,high_school,56.1,3.9
2020-02-01,high_school,56.0,3.7
2020-03-01,high_school,54.6,4.4
2020-04-01,high_school,45.1,17.7
2020-05-01,high_school,46.6,15.9
2020-06-01,high_school,48.6,12.3
2020-07-01,high_school,49.6,10.7
2020-08-01,high_school,49.7,9.9
2020-09-01,high_school,50.4,9.1
2020-10-01,high_school,51.5,8.2
2020-11-01,high_school,51.3,7.7
2020-12-01,high_school,51.0,7.9
2021-01-01,high_school,50.8,7.0
2021-02-01,high_school,50.5,7.1
2021-03-01,high_school,51.0,6.6
2021-04-01,high_school,51.5,7.0
2021-05-01,high_school,51.7,6.9
2021-06-01,high_school,52.0,7.0
2021-07-01,high_school,52.0,6.2
2021-08-01,high_school,52.1,6.0
2021-09-01,high_school,52.3,5.7
2021-10-01,high_school,52.4,5.4
2021-11-01,high_school,53.1,5.1
2021-12-01,high_school,53.3,4.5
2022-01-01,high_school,54.3,4.5
2022-02-01,high_school,53.6,4.4
2022-03-01,high_school,54.4,4.0
2022-04-01,high_school,54.5,3.8
2022-05-01,high_school,54.5,3.7
2022-06-01,high_school,54.6,3.6
2022-07-01,high_school,54.0,3.6
2022-08-01,high_school,53.8,4.4
2022-09-01,high_school,54.1,3.7
2022-10-01,high_school,53.9,4.0
2022-11-01,high_school,53.7,3.9
2022-12-01,high_school,54.3,3.5
2023-01-01,high_school,54.1,3.7
2023-02-01,high_school,53.9,3.6
2023-03-01,high_school,53.8,4.0
2023-04-01,high_school,54.2,4.0
2023-05-01,high_school,54.6,3.9
2023-06-01,high_school,54.8,3.9
2023-07-01,high_school,54.6,3.3
2023-08-01,high_school,54.2,3.9
2023-09-01,high_school,54.5,4.2
2023-10-01,high_school,54.7,4.1
2023-11-01,high_school,55.1,4.1
2023-12-01,high_school,54.9,4.2
2024-01-01,high_school,54.6,4.3
2024-02-01,high_school,54.6,4.2
2024-03-01,high_school,54.9,4.1
2024-04-01,high_school,54.4,4.0
2024-05-01,high_school,54.4,4.3
2024-06-01,high_school,54.7,4.2
2024-07-01,high_school,54.3,4.6
2024-08-01,high_school,54.5,4.0
2024-09-01,high_school,54.4,4.0
2024-10-01,high_school,54.5,4.0
2024-11-01,high_school,54.3,4.6
2024-12-01,high_school,54.5,4.3
2025-01-01,high_school,54.5,4.5
2025-02-01,high_school,53.8,4.2
2025-03-01,high_school,54.1,4.1
2025-04-01,high_school,54.5,4.0
2025-05-01,high_school,54.1,4.5
2025-06-01,high_school,54.8,4.0
2025-07-01,high_school,54.0,4.4
2025-08-01,high_school,54.4,4.3
2025-09-01,high_school,54.2,4.2
