state,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
dc,2024,6000,5000,6000,4000,5000,4000,6000,7000,7000,8000,6000,6000
dc,2025,6000,6000,6000,7000,4000,5000,6000,5000,,,,
mo,2018,28000,35000,33000,28000,35000,28000,24000,30000,32000,34000,33000,32000
mo,2019,36000,26000,23000,29000,45000,28000,28000,38000,47000,32000,48000,35000
mo,2020,31000,36000,272000,145000,38000,34000,28000,25000,34000,34000,46000,23000
mo,2021,22000,25000,22000,35000,21000,22000,24000,22000,19000,21000,19000,23000
mo,2022,21000,27000,23000,27000,30000,41000,28000,33000,26000,25000,24000,46000
mo,2023,30000,27000,30000,30000,24000,30000,19000,30000,41000,26000,21000,29000
mo,2024,27000,23000,40000,25000,23000,21000,33000,32000,32000,25000,30000,26000
mo,2025,32000,24000,26000,25000,25000,27000,29000,31000,,,,
il,2018,64000,57000,75000,68000,98000,78000,72000,74000,80000,97000,73000,75000
il,2019,53000,62000,58000,54000,61000,67000,74000,69000,56000,53000,44000,63000
il,2020,56000,69000,551000,303000,83000,79000,77000,76000,98000,113000,117000,87000
il,2021,76000,95000,78000,93000,71000,64000,55000,57000,53000,55000,48000,50000
il,2022,70000,62000,55000,54000,71000,67000,62000,57000,72000,69000,98000,71000
il,2023,69000,63000,76000,75000,63000,53000,71000,103000,57000,49000,40000,63000
il,2024,66000,58000,70000,70000,73000,70000,63000,77000,77000,66000,66000,76000
il,2025,67000,71000,58000,66000,64000,73000,73000,70000,,,,
ks,2018,14000,14000,18000,16000,17000,14000,14000,17000,18000,20000,18000,15000
ks,2019,14000,17000,13000,15000,14000,14000,15000,16000,15000,15000,19000,14000
ks,2020,15000,19000,117000,63000,13000,20000,16000,11000,13000,15000,16000,11000
ks,2021,11000,13000,10000,12000,19000,11000,11000,10000,11000,10000,11000,11000
ks,2022,10000,12000,11000,11000,12000,15000,10000,14000,13000,14000,13000,16000
ks,2023,16000,14000,15000,19000,14000,14000,14000,14000,20000,12000,11000,12000
ks,2024,13000,12000,14000,15000,12000,11000,16000,17000,14000,15000,17000,17000
ks,2025,17000,13000,16000,15000,13000,15000,15000,20000,,,,
sc,2018,40000,19000,15000,28000,19000,22000,26000,24000,27000,28000,32000,36000
sc,2019,35000,37000,35000,33000,25000,23000,25000,27000,61000,31000,26000,29000
sc,2020,27000,28000,127000,125000,26000,29000,28000,24000,19000,19000,21000,21000
sc,2021,22000,27000,22000,19000,20000,20000,21000,21000,25000,20000,20000,37000
sc,2022,17000,19000,21000,24000,21000,21000,18000,25000,18000,22000,23000,25000
sc,2023,36000,23000,26000,26000,25000,22000,26000,25000,34000,25000,22000,24000
sc,2024,29000,23000,33000,20000,22000,17000,30000,30000,34000,37000,27000,27000
sc,2025,26000,27000,21000,28000,22000,25000,25000,23000,,,,
tx,2018,220000,150000,157000,165000,168000,195000,194000,192000,204000,182000,168000,187000
tx,2019,145000,198000,189000,194000,120000,156000,152000,199000,161000,147000,149000,195000
tx,2020,157000,156000,862000,766000,171000,247000,177000,144000,123000,126000,119000,122000
tx,2021,114000,123000,104000,136000,122000,97000,121000,105000,103000,77000,126000,131000
tx,2022,119000,101000,114000,105000,106000,100000,106000,124000,113000,117000,103000,129000
tx,2023,151000,111000,123000,139000,127000,214000,138000,134000,134000,115000,145000,134000
tx,2024,146000,190000,99000,114000,106000,120000,109000,162000,190000,160000,126000,139000
tx,2025,139000,158000,157000,128000,126000,152000,157000,129000,,,,
va,2018,10000,9000,9000,9000,9000,9000,9000,9000,9000,8000,11000,10000
va,2019,10000,11000,10000,10000,8000,9000,10000,9000,11000,11000,9000,10000
va,2020,7000,9000,46000,51000,11000,10000,9000,7000,7000,9000,10000,8000
va,2021,9000,8000,8000,7000,6000,7000,6000,7000,7000,8000,6000,8000
va,2022,6000,7000,7000,9000,7000,7000,7000,9000,7000,7000,7000,7000
va,2023,10000,7000,8000,9000,8000,8000,9000,8000,8000,7000,8000,8000
va,2024,9000,8000,8000,7000,7000,7000,8000,8000,9000,10000,7000,8000
va,2025,8000,11000,8000,9000,7000,7000,7000,7000,,,,
ky,2018,26000,22000,22000,33000,18000,23000,27000,27000,22000,27000,22000,26000
ky,2019,25000,26000,24000,27000,18000,23000,23000,23000,29000,20000,24000,20000
ky,2020,21000,25000,140000,150000,26000,27000,18000,19000,18000,22000,34000,25000
ky,2021,21000,23000,23000,20000,17000,22000,26000,25000,31000,26000,19000,29000
ky,2022,22000,16000,23000,24000,19000,15000,17000,26000,17000,17000,22000,19000
ky,2023,26000,21000,20000,19000,20000,23000,21000,19000,21000,17000,19000,17000
ky,2024,19000,20000,18000,19000,18000,16000,19000,19000,25000,30000,20000,25000
ky,2025,29000,28000,19000,27000,25000,25000,25000,29000,,,,
vt,2018,5000,4000,5000,4000,4000,5000,5000,4000,5000,5000,4000,4000
vt,2019,4000,4000,4000,5000,5000,5000,4000,4000,5000,5000,5000,5000
vt,2020,5000,5000,39000,28000,4000,4000,4000,3000,5000,4000,5000,6000
vt,2021,5000,5000,3000,3000,4000,3000,3000,3000,5000,3000,4000,2000
vt,2022,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
vt,2023,4000,4000,4000,3000,3000,3000,4000,4000,2000,6000,4000,4000
vt,2024,4000,4000,4000,4000,4000,4000,5000,4000,4000,3000,4000,3000
vt,2025,4000,5000,4000,4000,4000,5000,5000,5000,,,,
wi,2018,30000,32000,33000,37000,35000,33000,36000,36000,39000,41000,49000,29000
wi,2019,29000,33000,28000,29000,29000,33000,27000,33000,33000,23000,37000,34000
wi,2020,53000,43000,234000,175000,39000,33000,29000,25000,30000,24000,41000,28000
wi,2021,30000,26000,29000,22000,20000,21000,17000,18000,17000,24000,19000,23000
wi,2022,24000,24000,23000,26000,22000,35000,28000,28000,24000,29000,25000,38000
wi,2023,26000,27000,31000,40000,32000,31000,30000,31000,34000,26000,27000,25000
wi,2024,23000,35000,31000,29000,26000,25000,29000,29000,29000,22000,28000,31000
wi,2025,34000,27000,27000,28000,31000,34000,32000,38000,,,,
fl,2018,96000,89000,102000,102000,89000,83000,92000,96000,96000,93000,163000,123000
fl,2019,87000,118000,92000,94000,101000,98000,106000,97000,137000,89000,94000,103000
fl,2020,94000,97000,859000,400000,99000,105000,101000,110000,92000,106000,83000,101000
fl,2021,123000,84000,72000,59000,43000,79000,73000,74000,94000,98000,96000,72000
fl,2022,86000,65000,92000,66000,92000,89000,110000,121000,83000,82000,99000,63000
fl,2023,134000,118000,98000,103000,100000,106000,83000,93000,90000,92000,84000,99000
fl,2024,109000,87000,97000,80000,121000,67000,86000,84000,106000,143000,83000,115000
fl,2025,71000,94000,111000,161000,90000,99000,117000,90000,,,,
mi,2018,48000,46000,28000,57000,87000,49000,58000,47000,57000,38000,58000,41000
mi,2019,50000,48000,42000,53000,38000,46000,41000,30000,51000,61000,62000,54000
mi,2020,38000,62000,518000,317000,87000,77000,60000,49000,39000,46000,104000,62000
mi,2021,43000,51000,38000,34000,41000,57000,51000,49000,46000,48000,38000,28000
mi,2022,31000,25000,27000,25000,39000,46000,35000,32000,50000,36000,39000,47000
mi,2023,49000,45000,54000,51000,59000,47000,54000,57000,53000,45000,43000,46000
mi,2024,48000,42000,62000,67000,43000,30000,51000,61000,61000,61000,91000,62000
mi,2025,65000,55000,34000,47000,48000,58000,62000,61000,,,,
nc,2018,63000,69000,76000,66000,70000,58000,64000,67000,65000,64000,68000,69000
nc,2019,81000,79000,66000,88000,67000,83000,71000,65000,84000,67000,50000,68000
nc,2020,67000,65000,405000,213000,63000,72000,59000,60000,60000,53000,86000,73000
nc,2021,53000,56000,55000,46000,58000,55000,88000,69000,58000,52000,46000,48000
nc,2022,52000,55000,71000,59000,55000,49000,56000,44000,42000,54000,51000,42000
nc,2023,80000,53000,58000,58000,55000,43000,55000,71000,62000,50000,53000,66000
nc,2024,65000,49000,41000,48000,40000,50000,49000,38000,59000,114000,64000,57000
nc,2025,44000,53000,49000,60000,44000,57000,47000,47000,,,,
la,2018,33000,27000,23000,27000,22000,24000,25000,25000,21000,22000,24000,27000
la,2019,26000,24000,27000,29000,23000,31000,26000,28000,28000,27000,21000,31000
la,2020,17000,29000,172000,96000,41000,32000,25000,22000,30000,16000,21000,17000
la,2021,17000,22000,18000,20000,21000,18000,17000,18000,26000,17000,20000,20000
la,2022,20000,18000,19000,19000,28000,21000,22000,24000,17000,21000,22000,23000
la,2023,35000,21000,31000,27000,21000,24000,25000,23000,25000,26000,21000,22000
la,2024,25000,25000,20000,22000,25000,23000,26000,27000,30000,35000,24000,25000
la,2025,24000,26000,20000,24000,20000,19000,21000,18000,,,,
ga,2018,72000,67000,56000,35000,52000,49000,55000,56000,41000,56000,57000,55000
ga,2019,51000,46000,53000,51000,41000,46000,47000,53000,64000,57000,45000,72000
ga,2020,55000,73000,291000,248000,64000,68000,65000,53000,46000,47000,62000,56000
ga,2021,49000,63000,58000,62000,46000,60000,50000,40000,64000,52000,51000,76000
ga,2022,57000,47000,73000,60000,73000,58000,69000,79000,40000,62000,52000,47000
ga,2023,72000,37000,59000,49000,78000,45000,46000,48000,42000,42000,48000,39000
ga,2024,50000,47000,38000,41000,44000,35000,63000,69000,68000,59000,54000,61000
ga,2025,66000,60000,50000,63000,44000,45000,51000,48000,,,,
wy,2018,4000,5000,4000,4000,4000,4000,8000,4000,3000,5000,4000,4000
wy,2019,4000,3000,4000,5000,6000,4000,5000,5000,5000,6000,5000,6000
wy,2020,5000,5000,26000,16000,7000,6000,5000,3000,4000,3000,7000,4000
wy,2021,5000,3000,3000,3000,4000,3000,4000,4000,3000,3000,3000,3000
wy,2022,4000,4000,2000,3000,4000,4000,4000,7000,4000,5000,4000,3000
wy,2023,4000,3000,4000,4000,3000,3000,3000,5000,4000,3000,4000,4000
wy,2024,4000,4000,4000,4000,5000,4000,4000,4000,4000,3000,3000,4000
wy,2025,4000,5000,4000,3000,4000,5000,5000,4000,,,,
nv,2018,18000,19000,18000,24000,14000,20000,13000,14000,14000,16000,17000,17000
nv,2019,14000,13000,14000,17000,24000,17000,19000,16000,20000,21000,17000,19000
nv,2020,32000,33000,247000,185000,46000,32000,27000,23000,20000,20000,30000,31000
nv,2021,24000,19000,19000,17000,24000,19000,27000,14000,21000,13000,14000,15000
nv,2022,19000,14000,11000,10000,15000,20000,24000,18000,13000,26000,19000,15000
nv,2023,19000,16000,19000,19000,12000,14000,16000,19000,14000,14000,26000,30000
nv,2024,20000,21000,20000,18000,24000,18000,20000,21000,25000,24000,18000,16000
nv,2025,20000,34000,21000,16000,21000,26000,22000,25000,,,,
mt,2018,7000,7000,9000,6000,6000,8000,6000,7000,5000,7000,6000,6000
mt,2019,6000,6000,6000,7000,9000,7000,8000,6000,12000,20000,8000,7000
mt,2020,7000,8000,43000,36000,7000,8000,8000,4000,7000,6000,11000,8000
mt,2021,8000,6000,6000,6000,7000,5000,6000,5000,7000,5000,6000,6000
mt,2022,6000,6000,5000,5000,6000,8000,8000,8000,7000,10000,8000,6000
mt,2023,6000,7000,9000,7000,6000,7000,7000,8000,7000,7000,8000,8000
mt,2024,8000,8000,8000,6000,16000,8000,9000,7000,8000,7000,6000,8000
mt,2025,8000,11000,11000,6000,9000,9000,9000,8000,,,,
ma,2018,36000,34000,43000,40000,33000,38000,58000,40000,34000,31000,39000,48000
ma,2019,41000,37000,39000,39000,35000,38000,36000,37000,42000,44000,39000,43000
ma,2020,49000,45000,392000,227000,54000,55000,29000,31000,33000,84000,39000,42000
ma,2021,33000,31000,34000,40000,41000,25000,25000,41000,55000,25000,24000,20000
ma,2022,30000,24000,26000,32000,23000,58000,28000,27000,27000,25000,22000,20000
ma,2023,30000,27000,52000,31000,29000,31000,32000,23000,12000,38000,37000,33000
ma,2024,39000,43000,27000,30000,43000,37000,40000,25000,28000,35000,36000,35000
ma,2025,31000,55000,36000,33000,42000,38000,43000,45000,,,,
ca,2018,173000,213000,189000,161000,159000,158000,170000,202000,168000,176000,187000,183000
ca,2019,182000,198000,132000,252000,252000,176000,271000,182000,215000,204000,230000,233000
ca,2020,205000,209000,1524000,1100000,230000,297000,256000,178000,198000,213000,259000,267000
ca,2021,235000,170000,170000,145000,129000,125000,107000,126000,148000,144000,134000,155000
ca,2022,169000,165000,168000,130000,197000,161000,111000,164000,179000,122000,121000,167000
ca,2023,178000,194000,242000,143000,151000,161000,184000,199000,174000,178000,166000,197000
ca,2024,177000,189000,183000,187000,209000,173000,192000,173000,179000,175000,257000,162000
ca,2025,180000,151000,174000,212000,192000,249000,196000,123000,,,,
az,2018,47000,38000,33000,33000,27000,41000,32000,33000,25000,34000,35000,38000
az,2019,28000,26000,32000,35000,43000,29000,32000,34000,45000,32000,29000,19000
az,2020,30000,36000,198000,161000,38000,37000,42000,23000,33000,22000,29000,30000
az,2021,24000,27000,43000,23000,26000,17000,25000,21000,20000,19000,26000,32000
az,2022,35000,29000,19000,16000,27000,29000,25000,32000,36000,39000,37000,24000
az,2023,30000,37000,38000,38000,21000,48000,31000,43000,33000,38000,44000,42000
az,2024,36000,32000,41000,45000,42000,33000,52000,32000,36000,34000,29000,29000
az,2025,39000,37000,41000,34000,40000,37000,35000,42000,,,,
al,2018,31000,26000,22000,22000,23000,30000,23000,22000,24000,21000,24000,20000
al,2019,24000,23000,21000,28000,19000,20000,21000,25000,30000,18000,15000,26000
al,2020,19000,19000,91000,90000,29000,36000,14000,15000,14000,17000,25000,21000
al,2021,22000,19000,20000,21000,18000,21000,26000,19000,32000,22000,18000,27000
al,2022,22000,18000,21000,26000,25000,23000,18000,24000,15000,21000,23000,24000
al,2023,29000,21000,23000,19000,22000,20000,29000,24000,27000,23000,24000,16000
al,2024,21000,26000,31000,20000,21000,16000,19000,21000,22000,27000,19000,20000
al,2025,23000,25000,20000,24000,19000,21000,20000,21000,,,,
ct,2018,26000,15000,19000,15000,19000,21000,19000,14000,16000,16000,16000,12000
ct,2019,17000,16000,29000,24000,20000,18000,15000,17000,21000,22000,25000,23000
ct,2020,20000,26000,166000,101000,22000,22000,22000,23000,20000,16000,33000,36000
ct,2021,16000,18000,12000,16000,19000,10000,16000,13000,16000,16000,14000,10000
ct,2022,14000,13000,12000,13000,14000,15000,17000,16000,14000,12000,21000,16000
ct,2023,20000,16000,19000,16000,15000,15000,16000,21000,12000,20000,14000,27000
ct,2024,17000,19000,18000,21000,21000,17000,22000,18000,17000,21000,19000,15000
ct,2025,19000,20000,27000,20000,18000,21000,26000,36000,,,,
wa,2018,40000,29000,55000,42000,48000,56000,28000,47000,33000,38000,43000,39000
wa,2019,43000,42000,44000,45000,47000,39000,48000,38000,42000,45000,39000,46000
wa,2020,35000,68000,284000,229000,51000,45000,34000,23000,35000,26000,45000,57000
wa,2021,33000,25000,28000,37000,19000,24000,27000,16000,25000,24000,24000,26000
wa,2022,47000,33000,20000,22000,28000,29000,41000,28000,35000,38000,37000,37000
wa,2023,33000,34000,45000,42000,23000,29000,38000,43000,34000,29000,39000,39000
wa,2024,36000,29000,37000,33000,39000,52000,38000,44000,37000,31000,32000,30000
wa,2025,36000,45000,42000,32000,40000,41000,31000,31000,,,,
tn,2018,48000,34000,31000,42000,36000,43000,41000,28000,38000,37000,49000,37000
tn,2019,36000,40000,42000,36000,32000,32000,29000,45000,36000,33000,25000,41000
tn,2020,43000,40000,199000,217000,39000,51000,43000,36000,38000,28000,44000,42000
tn,2021,55000,34000,45000,39000,35000,29000,34000,32000,35000,33000,26000,30000
tn,2022,34000,34000,43000,45000,30000,39000,36000,45000,28000,52000,37000,38000
tn,2023,46000,36000,69000,33000,35000,31000,39000,36000,38000,33000,32000,34000
tn,2024,33000,45000,29000,32000,35000,33000,41000,42000,47000,49000,47000,50000
tn,2025,39000,50000,31000,45000,32000,55000,45000,29000,,,,
ri,2018,8000,6000,7000,6000,7000,8000,7000,7000,7000,8000,7000,6000
ri,2019,6000,6000,7000,14000,7000,7000,6000,7000,7000,8000,8000,8000
ri,2020,7000,6000,63000,44000,8000,6000,6000,5000,5000,6000,7000,13000
ri,2021,6000,8000,5000,6000,6000,4000,6000,6000,5000,5000,5000,4000
ri,2022,5000,6000,5000,6000,6000,6000,6000,6000,5000,9000,4000,6000
ri,2023,8000,7000,7000,7000,6000,6000,6000,6000,5000,11000,6000,7000
ri,2024,7000,7000,7000,7000,7000,6000,9000,7000,7000,5000,6000,15000
ri,2025,19000,8000,6000,10000,8000,9000,8000,10000,,,,
